id,关卡名称,关卡难度,关卡描述,关卡谜题类型,谜题参数,关卡房间数,房间链接关系,角色数和性别关系,时间点数,19:00,19:10,19:20,19:30,19:40,19:50
case_001,001 简单·午夜回廊失窃案,easy,午夜回廊中，C 发现重要物品不见了。只有单独与 C 共处一室的人才有机会下手。,theft,"[[""questions"",10],[""goal"",""是谁在哪个时间哪个地点偷窃了 C""],[""smartExpected"",5],[""minCandidates"",4],[""targetActor"",""C""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N3"",""N1"",""N1"",""N4"",""N4""]",[],[],[],[],[]
case_002,002 简单·窗边脚印失窃案,easy,窗边脚印中，C 发现重要物品不见了。只有单独与 C 共处一室的人才有机会下手。,theft,"[[""questions"",10],[""goal"",""是谁在哪个时间哪个地点偷窃了 C""],[""smartExpected"",5],[""minCandidates"",4],[""targetActor"",""C""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N5"",""N2"",""N2"",""N5"",""N2"",""N6""]",[],[],[],[],[]
case_003,003 简单·花房低语失窃案,easy,花房低语中，C 发现重要物品不见了。只有单独与 C 共处一室的人才有机会下手。,theft,"[[""questions"",10],[""goal"",""是谁在哪个时间哪个地点偷窃了 C""],[""smartExpected"",5],[""minCandidates"",4],[""targetActor"",""C""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N3"",""N1"",""N1"",""N4"",""N4""]",[],[],[],[],[]
case_004,004 简单·钟声之后失窃案,easy,钟声之后中，C 发现重要物品不见了。只有单独与 C 共处一室的人才有机会下手。,theft,"[[""questions"",10],[""goal"",""是谁在哪个时间哪个地点偷窃了 C""],[""smartExpected"",5],[""minCandidates"",4],[""targetActor"",""C""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N5"",""N2"",""N2"",""N5"",""N2"",""N6""]",[],[],[],[],[]
case_005,005 简单·烛光证人失窃案,easy,烛光证人中，C 发现重要物品不见了。只有单独与 C 共处一室的人才有机会下手。,theft,"[[""questions"",10],[""goal"",""是谁在哪个时间哪个地点偷窃了 C""],[""smartExpected"",5],[""minCandidates"",4],[""targetActor"",""C""]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N5"",""N2"",""N2"",""N5"",""N2"",""N6""]",[],[],[],[],[]
case_006,006 简单·香槟塔旁独处者,easy,香槟塔旁后，侦探发现有一名宾客在所有事件中都独自待在房间里。,alwaysAlone,"[[""questions"",12],[""goal"",""这个人是谁""],[""smartExpected"",6.7],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N2"",""N6"",""N4"",""N5"",""N1"",""N3""]",[],[],[],[],[]
case_007,007 简单·甜点失踪独处者,easy,甜点失踪后，侦探发现有一名宾客在所有事件中都独自待在房间里。,alwaysAlone,"[[""questions"",12],[""goal"",""这个人是谁""],[""smartExpected"",6.7],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N6"",""N3"",""N4"",""N5"",""N1"",""N2""]",[],[],[],[],[]
case_008,008 简单·午夜回廊独处者,easy,午夜回廊后，侦探发现有一名宾客在所有事件中都独自待在房间里。,alwaysAlone,"[[""questions"",12],[""goal"",""这个人是谁""],[""smartExpected"",6.7],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N1"",""N6"",""N4"",""N2"",""N3"",""N5""]",[],[],[],[],[]
case_009,009 简单·窗边脚印独处者,easy,窗边脚印后，侦探发现有一名宾客在所有事件中都独自待在房间里。,alwaysAlone,"[[""questions"",12],[""goal"",""这个人是谁""],[""smartExpected"",6.7],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N3"",""N4"",""N5"",""N2"",""N1"",""N6""]",[],[],[],[],[]
case_010,010 简单·花房低语独处者,easy,花房低语后，侦探发现有一名宾客在所有事件中都独自待在房间里。,alwaysAlone,"[[""questions"",12],[""goal"",""这个人是谁""],[""smartExpected"",6.7],[""minCandidates"",4]]",6,"[[""N1"",[""N2"",""N4"",""N5""]],[""N2"",[""N1"",""N3"",""N5"",""N6""]],[""N3"",[""N2"",""N6""]],[""N4"",[""N1"",""N5""]],[""N5"",[""N1"",""N2"",""N4""]],[""N6"",[""N2"",""N3""]]]","[[""A"",""男""],[""B"",""男""],[""C"",""男""],[""D"",""女""],[""E"",""女""],[""F"",""女""]]",6,"[""N4"",""N6"",""N2"",""N1"",""N5"",""N3""]",[],[],[],[],[]
